,PLATFRMID,NAME,STATUS,OPERNAME,COMMODITY,LATITUDE,LONGITUDE,age,WATERDEPTH,DISTLAND,REGION,kmeans_3_label,kmeans_4_label,kmeans_5_label,kmeans_6_label,kmeans_7_label
578,GOM01292,A,IN SERVICE,ATP OIL & GAS CORP.,UNKNOWN,28.5493639319,-93.1935955575,15.329226557152635,136,78,GULF OF MEXICO,1,0,0,0,6
579,GOM01294,E,IN SERVICE,"BLACK ELK ENERGY OFFSHORE OPERATIONS, LLC",NONE,29.2800581639,-94.3604625069,16.197125256673512,53,17,GULF OF MEXICO,2,2,1,3,6
580,GOM01295,H,IN SERVICE,"CONTANGO OPERATORS, INC.",UNKNOWN,29.3791775212,-91.7530308483,15.698836413415467,13,7,GULF OF MEXICO,2,2,1,3,5
581,GOM01296,H-AUX,IN SERVICE,"CONTANGO OPERATORS, INC.",UNKNOWN,29.3791775212,-91.7530308483,15.698836413415467,13,7,GULF OF MEXICO,1,0,0,0,6
582,GOM01297,H-CMP,IN SERVICE,"CONTANGO OPERATORS, INC.",UNKNOWN,29.3788610289,-91.7531080252,13.232032854209445,13,7,GULF OF MEXICO,0,1,4,4,4
583,GOM01299,3,IN SERVICE,"HELIS OIL & GAS CO., LLC",UNKNOWN,29.7067351217,-93.5603056713,,26,3,GULF OF MEXICO,1,0,0,0,6
584,GOM01300,37,IN SERVICE,"EPL OIL & GAS, INC.",BOTH,29.1480357171,-89.6113669837,16.240930869267626,38,7,GULF OF MEXICO,2,2,1,3,5
585,GOM01302,F,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.6062693351,-91.9641397715,15.890485968514716,138,60,GULF OF MEXICO,2,2,1,3,6
586,GOM01303,3,IN SERVICE,"NORTHSTAR OFFSHORE GROUP, LLC",BOTH,29.6325427535,-93.5658059197,15.364818617385351,37,8,GULF OF MEXICO,2,2,1,3,5
587,GOM01304,228,IN SERVICE,CHEVRON USA INC.,BOTH,29.4732061491,-92.048831158,15.994524298425736,11,6,GULF OF MEXICO,2,2,1,2,3
588,GOM01305,A,IN SERVICE,CHEVRON USA INC.,UNKNOWN,29.4734508829,-92.0488328959,15.436002737850789,11,6,GULF OF MEXICO,1,0,0,0,0
589,GOM01306,D,IN SERVICE,"MATAGORDA ISLAND GAS OPERATIONS,LLC",UNKNOWN,28.0423832695,-96.6052330401,15.537303216974674,72,13,GULF OF MEXICO,1,0,0,0,0
590,GOM01308,18,IN SERVICE,"ENERGY XXI GOM, LLC",BOTH,29.1366119802,-89.5545994979,15.605749486652975,37,7,GULF OF MEXICO,1,0,0,0,0
591,GOM01309,7,IN SERVICE,"TARPON OPERATING & DEVELOPMENT, LLC",BOTH,29.205202282,-93.320332943,15.89596167008898,61,38,GULF OF MEXICO,0,1,4,4,4
592,GOM01310,D,IN SERVICE,"TARPON OPERATING & DEVELOPMENT, LLC",BOTH,29.1915350606,-93.3245385175,15.808350444900752,61,39,GULF OF MEXICO,1,0,0,0,0
593,GOM01311,8,IN SERVICE,"W & T OFFSHORE, INC.",BOTH,29.4453285541,-93.3988035458,15.893223819301848,39,21,GULF OF MEXICO,2,2,1,3,5
594,GOM01312,B(HELIX),IN SERVICE,"ENERGY RESOURCE TECHNOLOGY GOM, INC.",BOTH,27.7300256404,-91.1085855917,14.464065708418891,2200,130,GULF OF MEXICO,0,1,4,4,4
595,GOM01313,D,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,30.1616189193,-88.0011844876,15.876796714579056,54,4,GULF OF MEXICO,2,2,1,3,5
596,GOM01315,D,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.2160571474,-92.124565934,15.31006160164271,234,87,GULF OF MEXICO,1,0,0,0,0
597,GOM01317,1,IN SERVICE,MCMORAN OIL & GAS LLC,UNKNOWN,29.2233021127,-91.9673526242,,25,19,GULF OF MEXICO,2,2,1,3,5
598,GOM01318,B,IN SERVICE,"ARENA OFFSHORE, LP",BOTH,28.1502378281,-91.3772237127,15.756331279945243,326,67,GULF OF MEXICO,0,1,4,2,3
599,GOM01319,15,IN SERVICE,"ARENA OFFSHORE, LP",UNKNOWN,29.2491635182,-91.3900297697,,10,4,GULF OF MEXICO,0,1,4,4,4
600,GOM01320,F,IN SERVICE,UNION OIL CO. OF CALIFORNIA,BOTH,28.430602596,-91.4697624525,15.148528405201915,180,53,GULF OF MEXICO,0,1,4,2,3
601,GOM01321,A,IN SERVICE,"LLOG EXPLORATION OFFSHORE, LLC",NATURAL GAS,28.4027076927,-91.8590594637,15.627652292950032,196,68,GULF OF MEXICO,1,0,0,0,0
602,GOM01324,A,IN SERVICE,"CENTURY EXPLORATION NEW ORLEANS, LLC",BOTH,28.9294881717,-93.2648338143,14.811772758384668,75,56,GULF OF MEXICO,0,3,3,5,2
603,GOM01325,1,IN SERVICE,TALOS ENERGY OFFSHORE LLC,BOTH,28.8101436813,-90.9829578354,17.804243668720055,40,16,GULF OF MEXICO,1,0,0,0,6
604,GOM01327,230,IN SERVICE,CHEVRON USA INC.,BOTH,29.463859256,-92.0507819879,15.356605065023956,14,6,GULF OF MEXICO,1,0,0,0,0
605,GOM01328,229,IN SERVICE,CHEVRON USA INC.,BOTH,29.4876374027,-92.053519888,15.455167693360712,11,5,GULF OF MEXICO,1,0,0,0,0
606,GOM01329,B,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,BOTH,29.4211791883,-88.7668204761,15.178644763860367,65,19,GULF OF MEXICO,1,0,0,0,0
607,GOM01330,8,IN SERVICE,"MATAGORDA ISLAND GAS OPERATIONS,LLC",UNKNOWN,28.0733405642,-96.5667018474,15.403148528405202,75,15,GULF OF MEXICO,1,0,0,0,0
608,GOM01331,1,IN SERVICE,TALOS ENERGY OFFSHORE LLC,BOTH,28.8519720226,-90.7139881376,15.748117727583846,38,15,GULF OF MEXICO,2,2,2,1,1
609,GOM01333,1,IN SERVICE,PETSEC ENERGY INC.,UNKNOWN,28.8399581517,-93.4738581658,,74,61,GULF OF MEXICO,0,1,2,1,1
610,GOM01334,19,IN SERVICE,FIELDWOOD ENERGY LLC,NATURAL GAS,29.5024788781,-93.2918640016,15.498973305954824,43,18,GULF OF MEXICO,1,0,0,0,0
611,GOM01336,2,IN SERVICE,"ZENERGY, INC.",UNKNOWN,29.2995344532,-91.707096176,,16,13,GULF OF MEXICO,0,1,2,1,1
612,GOM01337,J,IN SERVICE,"PETROQUEST ENERGY, LLC",BOTH,28.4763123968,-91.8431367274,15.43874058863792,180,63,GULF OF MEXICO,1,0,0,0,0
613,GOM01339,1,IN SERVICE,"SAMSON OFFSHORE, LLC",UNKNOWN,28.8388371768,-91.2931488699,,37,25,GULF OF MEXICO,0,1,3,2,3
614,GOM01340,E,IN SERVICE,"ARENA OFFSHORE, LP",BOTH,28.5708449931,-91.8666283607,15.444216290212184,145,58,GULF OF MEXICO,0,1,4,4,4
615,GOM01341,B,IN SERVICE,WALTER OIL & GAS CORP.,BOTH,28.5867628819,-90.8048005814,15.709787816563995,68,31,GULF OF MEXICO,1,0,0,0,6
616,GOM01342,9,IN SERVICE,"MATAGORDA ISLAND GAS OPERATIONS,LLC",UNKNOWN,28.0876331456,-96.5435598765,15.381245722108146,75,17,GULF OF MEXICO,1,0,0,0,6
617,GOM01343,C,IN SERVICE,"ARENA OFFSHORE, LP",BOTH,28.2915708693,-93.3725760536,15.16495550992471,187,99,GULF OF MEXICO,0,1,4,2,3
618,GOM01344,B,IN SERVICE,"MARLIN COASTAL, LLC",BOTH,28.9490743018,-91.3416708304,15.19507186858316,40,20,GULF OF MEXICO,0,1,2,1,1
619,GOM01345,B,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,BOTH,28.7238282348,-90.0116161615,15.430527036276525,159,27,GULF OF MEXICO,0,1,2,1,1
620,GOM01346,10,IN SERVICE,STONE ENERGY CORP.,UNKNOWN,28.8623623333,-90.9427916103,,36,12,GULF OF MEXICO,0,1,4,4,4
621,GOM01347,C,IN SERVICE,TANA EXPLORATION CO. LLC,BOTH,28.2833869856,-91.6730470482,15.430527036276525,231,68,GULF OF MEXICO,0,1,2,1,1
622,GOM01348,G,IN SERVICE,"ARENA OFFSHORE, LP",BOTH,29.247942516,-91.3961404198,15.586584531143052,12,10,GULF OF MEXICO,0,1,2,1,1
623,GOM01351,A,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.9222701896,-89.9395883465,14.986995208761122,118,18,GULF OF MEXICO,1,0,0,0,6
624,GOM01352,D,IN SERVICE,"ENERGY XXI GOM, LLC",BOTH,29.5547158795,-88.687141614,15.326488706365502,61,33,GULF OF MEXICO,1,0,0,0,6
625,GOM01353,8,IN SERVICE,STONE ENERGY CORP.,UNKNOWN,28.8169957171,-90.8008067265,,59,15,GULF OF MEXICO,2,2,1,3,5
626,GOM01354,E,IN SERVICE,"ENERGY XXI GOM, LLC",BOTH,29.5471317066,-88.6901136098,14.86652977412731,56,17,GULF OF MEXICO,1,0,0,0,6
627,GOM01355,2,IN SERVICE,"ARENA OFFSHORE, LP",BOTH,29.2607963308,-92.2039436569,15.11567419575633,23,19,GULF OF MEXICO,1,0,0,0,6
628,GOM01357,15,IN SERVICE,"PETROQUEST ENERGY, LLC",NONE,28.9804711746,-90.949033126,,27,4,GULF OF MEXICO,0,1,2,1,1
629,GOM01359,D,IN SERVICE,"ENERGY XXI GOM, LLC",NATURAL GAS,29.2729715658,-94.2491410566,15.312799452429845,52,20,GULF OF MEXICO,1,0,0,0,0
630,GOM01360,16,IN SERVICE,"PETROQUEST ENERGY, LLC",BOTH,28.9806281121,-90.9576355656,15.50444900752909,33,13,GULF OF MEXICO,0,1,2,1,1
631,GOM01361,A,IN SERVICE,PROBE RESOURCES US LTD.,NATURAL GAS,29.4935318196,-92.6398145914,15.200547570157427,39,6,GULF OF MEXICO,1,0,0,0,0
632,GOM01362,232,IN SERVICE,CHEVRON USA INC.,BOTH,29.4804649755,-92.0515638178,14.819986310746064,12,5,GULF OF MEXICO,1,0,0,0,0
633,GOM01363,231,IN SERVICE,CHEVRON USA INC.,NONE,29.4803760296,-92.0477034979,15.06091718001369,12,5,GULF OF MEXICO,2,2,1,3,6
634,GOM01364,B,IN SERVICE,CHEVRON USA INC.,UNKNOWN,29.4805320376,-92.0478397502,14.403832991101986,12,5,GULF OF MEXICO,0,1,4,4,4
635,GOM01365,A,IN SERVICE,"PEREGRINE OIL & GAS, LP",BOTH,28.1607591493,-94.7399538356,14.869267624914444,180,62,GULF OF MEXICO,1,0,0,0,0
636,GOM01367,13,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,29.5917280541,-92.8959382892,14.989733059548255,33,5,GULF OF MEXICO,0,2,1,2,3
637,GOM01368,1,IN SERVICE,NOT AVAILABLE,UNKNOWN,28.5941429194,-94.6346739315,,-999,-999,GULF OF MEXICO,1,0,0,0,0
638,GOM01369,E,IN SERVICE,"W & T OFFSHORE, INC.",BOTH,29.5529056308,-88.684811043,15.121149897330596,59,17,GULF OF MEXICO,1,0,0,0,6
639,GOM01370,15,IN SERVICE,"CENTURY EXPLORATION NEW ORLEANS, LLC",UNKNOWN,28.7268787658,-91.2627711806,,57,29,GULF OF MEXICO,0,3,3,5,2
640,GOM01371,A(CASCADE AND C,IN SERVICE,PETROBRAS AMERICA INC.,BOTH,26.6964723171,-90.5084073748,12.413415468856948,8300,160,GULF OF MEXICO,0,1,4,4,4
641,GOM01372,E,IN SERVICE,"ARENA OFFSHORE, LP",BOTH,29.4201009676,-88.5931254403,14.458590006844627,178,27,GULF OF MEXICO,0,1,2,1,1
642,GOM01373,D,IN SERVICE,"ARENA OFFSHORE, LP",BOTH,29.4343566212,-88.5757729708,14.458590006844627,176,27,GULF OF MEXICO,1,0,0,0,0
643,GOM01374,D,IN SERVICE,"GOMEX ENERGY OFFSHORE, LTD.",BOTH,28.4110729128,-92.6157427172,14.959616700889802,190,79,GULF OF MEXICO,1,0,0,0,0
644,GOM01375,B,IN SERVICE,"BLACK ELK ENERGY OFFSHORE OPERATIONS, LLC",UNKNOWN,28.2823902965,-93.1966003751,14.598220396988363,190,95,GULF OF MEXICO,2,2,1,3,5
