,PLATFRMID,NAME,STATUS,OPERNAME,COMMODITY,LATITUDE,LONGITUDE,INSTALL,REMOVAL,WATERDEPTH,DISTLAND,REGION,age,kmeans_label,ahc_label,dbscan_label
1796,GOM01880,1,REMOVED,"DYNAMIC OFFSHORE RESOURCES NS, LLC",NONE,28.1715125441,-96.1389361303,1989-01-01 00:00:00+00:00,2010/06/21 00:00:00+00,89,21,GULF OF MEXICO,34.8911704312115,0,1,0
1797,GOM01881,A,REMOVED,HALL-HOUSTON OIL CO.,NONE,27.7420197921,-96.6461405039,1989-01-01 00:00:00+00:00,1993/03/11 00:00:00+00,125,32,GULF OF MEXICO,34.8911704312115,0,1,0
1798,GOM01882,5,REMOVED,MURPHY EXPLORATION & PRODUCTION CO. - USA,NONE,28.1557067941,-96.2244662225,1998-07-22 00:00:00+00:00,2004/08/06 00:00:00+00,88,21,GULF OF MEXICO,25.338809034907598,0,1,0
1799,GOM01883,8,REMOVED,MURPHY EXPLORATION & PRODUCTION CO. - USA,NONE,28.162500496,-96.2157980442,1989-01-01 00:00:00+00:00,1998/02/11 00:00:00+00,85,21,GULF OF MEXICO,34.8911704312115,0,1,0
1800,GOM01884,JB,REMOVED,"SCANA PETROLEUM RESOURCES, INC.",NONE,28.1294547175,-96.2311432204,1989-01-01 00:00:00+00:00,1993/05/31 00:00:00+00,94,17,GULF OF MEXICO,34.8911704312115,0,1,0
1801,GOM01885,A,REMOVED,GOM SHELF LLC,NONE,28.0862544633,-96.2871055768,1989-01-01 00:00:00+00:00,2010/07/12 00:00:00+00,96,28,GULF OF MEXICO,34.8911704312115,0,1,0
1802,GOM01886,B (QUARTERS),REMOVED,GOM SHELF LLC,NONE,28.0862544633,-96.2871055768,1989-01-01 00:00:00+00:00,2010/07/12 00:00:00+00,96,28,GULF OF MEXICO,34.8911704312115,0,1,0
1803,GOM01887,A,REMOVED,"ENERGY RESOURCE TECHNOLOGY GOM, INC.",NONE,28.1436981491,-96.2197170133,1989-01-01 00:00:00+00:00,2011/07/12 00:00:00+00,97,17,GULF OF MEXICO,34.8911704312115,0,1,0
1804,GOM01888,A,REMOVED,"TOTAL E&P USA, INC.",NONE,28.232381629,-96.1478069118,1989-01-01 00:00:00+00:00,1994/08/02 00:00:00+00,80,17,GULF OF MEXICO,34.8911704312115,0,1,0
1805,GOM01889,9,REMOVED,"ENERGY RESOURCE TECHNOLOGY GOM, INC.",NONE,28.1413823261,-96.2313923074,1989-01-01 00:00:00+00:00,2008/05/18 00:00:00+00,88,17,GULF OF MEXICO,34.8911704312115,0,1,0
